path,metric,count,p50_ms,p95_ms,p99_ms
known_hit,action_to_final_commit_ms,30,1881.7370114993537,1896.0574256969267,1910.8370328971068
known_hit,action_to_host_ready_ms,30,3755.708613497006,3774.3082520469266,3788.940317807107
known_hit,decode_host_ready_ms,30,1874.051304,1878.01443355,1878.7249206200001
known_hit,proposal_pre_action_ms,30,500.73516949487384,506.53477409650804,509.6175805092207
known_hit,total_charged_ms,30,4255.363903006775,4280.467627136741,4298.312665321092
miss,action_to_final_commit_ms,30,2353.4298175072763,2368.6149604414823,2380.561532008287
miss,action_to_host_ready_ms,30,4226.9419290072765,4245.57898699948,4258.977607398287
miss,decode_host_ready_ms,30,1874.0088580000001,1878.29684195,1879.76405309
miss,proposal_pre_action_ms,30,500.23607550247107,505.5812079037423,506.5561547107063
miss,total_charged_ms,30,4727.6545504944315,4751.535960497294,4764.6593973810595
on_demand_full,action_to_final_commit_ms,30,2355.9235984866973,2370.764838764444,3371.195471559478
on_demand_full,action_to_host_ready_ms,30,4231.2199870032255,4308.230070861725,5278.004998101687
on_demand_full,decode_host_ready_ms,30,1874.8580630000001,1879.4533065,1962.5473106000002
on_demand_full,total_charged_ms,30,4231.2199870032255,4308.230070861725,5278.004998101687
known_hit_savings,action_to_final_commit_ms,30,475.01146198192146,484.1988282103557,1476.4732729556283
known_hit_savings,action_to_host_ready_ms,30,475.2167054951665,541.4122825516777,1505.721804723019
