target,threshold,test_pre_roll_eligible_count,test_pre_roll_selected_count,test_pre_roll_coverage,test_pre_roll_exact_hit_precision,charged_work_delta_ms
strict_hash,0.047619047619047616,582,582,1.0,0.06701030927835051,242317.09083105065
strict_hash,0.06542414321826696,582,581,0.9982817869415808,0.06712564543889846,241869.12297955155
strict_hash,0.06547363909129876,582,581,0.9982817869415808,0.06712564543889846,241869.12297955155
strict_hash,0.06825588974764876,582,79,0.13573883161512026,0.4430379746835443,18876.461397839244
strict_hash,0.4358974358974359,582,55,0.09450171821305842,0.5272727272727272,10956.032768245786
strict_hash,0.91030251745293,582,29,0.04982817869415808,0.6206896551724138,4498.668274311349
strict_hash,0.9158002038735984,582,14,0.024054982817869417,0.42857142857142855,3440.75011460064
strict_hash,0.9259970142887609,582,14,0.024054982817869417,0.42857142857142855,3440.75011460064
strict_hash,1.0,582,14,0.024054982817869417,0.42857142857142855,3440.75011460064
intent,0.05,582,582,1.0,0.25257731958762886,191362.69431604398
intent,0.25,582,425,0.7302405498281787,0.31529411764705884,127165.14121116698
intent,0.4,582,267,0.4587628865979381,0.3707865168539326,72899.21954488521
intent,0.6153846153846154,582,98,0.16838487972508592,0.30612244897959184,29746.850414983463
intent,1.0,582,52,0.08934707903780069,0.057692307692307696,21878.92837476777
