category,episode_id,block_index,budget,hit_count,miss_count,ready_by_lead_window,speculative_candidates,fallback_candidates,mean_speculative_generation_ms,fork_ms,mean_restore_ms,accept_ms,total_gpu_work_ms,peak_allocated_bytes,fork_snapshot_bytes,total_retained_snapshot_bytes
stable_common,48,178,0,0,0,False,0,0,,0.8317000028910115,,0.0,4725.945188998594,81043795456,0,0
stable_common,48,178,1,1,0,False,1,0,4722.893482001382,0.7509510032832623,,6.690558991977014,4737.742929995875,81052000768,0,4965556224
stable_common,48,178,2,1,0,False,2,0,4720.185412494175,0.7533180032623932,0.7238589896587655,6.739806005498394,9463.31819097395,86019129856,0,9931112448
stable_common,48,178,4,1,0,False,4,0,4714.097352247336,0.7942579977679998,0.708147999830544,6.749235995812342,18895.54716600105,95954862592,0,19862224896
intent_change,58,256,0,0,0,False,0,0,,0.8287230011774227,,0.0,4715.9184259944595,81046938112,0,0
intent_change,58,256,1,0,1,False,1,1,4722.2263969888445,0.8216310088755563,0.7052639994071797,6.735152011970058,9464.549280994106,86020751872,0,9931112448
intent_change,58,256,2,0,1,False,2,1,4718.549432000145,0.7391260005533695,0.7018989999778569,6.638209000811912,14164.930579005159,90986308096,0,14896668672
intent_change,58,256,4,0,1,False,4,1,4709.817888753605,0.7497600017813966,0.7110330006980803,6.671741997706704,23596.36473302089,100922139136,0,24827781120
