row_type,run_id,run_index,seed,delay,admission_latent,support_frame,exact,max_error,incremental_decode_gpu_total_ms,action_receipt_to_admission_ms,action_receipt_to_denoise_complete_ms,action_receipt_to_context_commit_ms,action_receipt_to_device_ready_ms,action_receipt_to_host_ready_ms,action_receipt_to_sink_consumed_ms,admission_to_denoise_complete_ms,denoise_complete_to_context_commit_ms,context_commit_to_device_ready_ms,device_ready_to_host_ready_ms
run,buildTower_normal__seed301__d0,1,301,d0,27,105,True,0,26212.6083984375,10745.758261,17218.500376,18816.445817,21445.080405,21455.581917,21498.516818,6472.742115,1597.945441,2628.634588,10.501512
run,buildTower_normal__seed301__d1,2,301,d1,30,117,True,0,28303.489135742188,21524.253161,28002.712837,30968.094222,33597.500838,33607.977187,33651.195263,6478.459676,2965.381385,2629.406616,10.476349
run,buildTower_normal__seed302__d1,3,302,d1,30,117,True,0,28296.931884765625,21524.535228,28014.887185,29613.422445,32242.380063,32252.675848,32295.82159,6490.351957,1598.53526,2628.957618,10.295785
run,buildTower_normal__seed302__d0,4,302,d0,27,105,True,0,25664.811889648438,10768.963581,17259.214319,18859.050076,21486.414735,21496.905433,21540.814761,6490.250738,1599.835757,2627.364659,10.490698
